[rc5s-b10] Nat.dvd_right_iff_eq: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.eq_div_of_mul_eq_left: ranks 6-10 (3 programs, cap 60s) ...
[rc5s-b10] Nat.eq_mul_of_div_eq_left: ranks 6-10 (3 programs, cap 60s) ...
[rc5s-b10] Nat.find_eq_zero: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.forall_lt_succ: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.le_of_mul_le_mul_right: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.mod_eq_iff_lt: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.mod_mul_mod: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.one_le_pow: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.sqrt_lt': ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.sqrt_pos: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Nat.zero_eq_mul: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] Set.BijOn.congr: ranks 6-10 (4 programs, cap 60s) ...
[rc5s-b10] Set.disjoint_sUnion_right: ranks 6-10 (3 programs, cap 60s) ...
[rc5s-b10] Set.mapsTo_singleton: ranks 6-10 (5 programs, cap 60s) ...
[rc5s-b10] eligible=85 new_wins=0 killed=0 wall=854.9s recommend=B5_ONLY
